wavenumber_cm_minus_1,transmittance,absorbance
6.080000000000000000e+02,8.541999999999999593e-01,6.844043290919477052e-02
6.090000000000000000e+02,8.538999999999999924e-01,6.859298644342652629e-02
6.100000000000000000e+02,8.536000000000000254e-01,6.874559358358650618e-02
6.110000000000000000e+02,8.532999999999999474e-01,6.889825436736127240e-02
6.120000000000000000e+02,8.529999999999999805e-01,6.905096883247698047e-02
6.130000000000000000e+02,8.528999999999999915e-01,6.910188558989542595e-02
6.140000000000000000e+02,8.529999999999999805e-01,6.905096883247698047e-02
6.150000000000000000e+02,8.531999999999999584e-01,6.894915322260888879e-02
6.160000000000000000e+02,8.532999999999999474e-01,6.889825436736127240e-02
6.170000000000000000e+02,8.534000000000000474e-01,6.884736147670671158e-02
6.180000000000000000e+02,8.535000000000000364e-01,6.879647454924756045e-02
6.190000000000000000e+02,8.538000000000000034e-01,6.864384953207203210e-02
6.200000000000000000e+02,8.546000000000000263e-01,6.823711151882226600e-02
6.210000000000000000e+02,8.554000000000000492e-01,6.783075407920771682e-02
6.220000000000000000e+02,8.561999999999999611e-01,6.742477650170942971e-02
6.230000000000000000e+02,8.571999999999999620e-01,6.691783763020896225e-02
6.240000000000000000e+02,8.588000000000000078e-01,6.610796423578892134e-02
6.250000000000000000e+02,8.604000000000000536e-01,6.529959828457501669e-02
6.260000000000000000e+02,8.619999999999999885e-01,6.449273417528721131e-02
6.270000000000000000e+02,8.636000000000000343e-01,6.368736633780680556e-02
6.280000000000000000e+02,8.651999999999999691e-01,6.288348923294614923e-02
6.290000000000000000e+02,8.659000000000000030e-01,6.253226035662251547e-02
6.300000000000000000e+02,8.665000000000000480e-01,6.223143295006416942e-02
6.310000000000000000e+02,8.670999999999999819e-01,6.193081377661427411e-02
6.320000000000000000e+02,8.677000000000000268e-01,6.163040254819367181e-02
6.330000000000000000e+02,8.675000000000000488e-01,6.173051653708865050e-02
6.340000000000000000e+02,8.666000000000000369e-01,6.218131530164398152e-02
6.350000000000000000e+02,8.657000000000000250e-01,6.263258248271039164e-02
6.360000000000000000e+02,8.649999999999999911e-01,6.298389253518578423e-02
6.370000000000000000e+02,8.643999999999999462e-01,6.328524178879629813e-02
6.380000000000000000e+02,8.637000000000000233e-01,6.363708040225554696e-02
6.390000000000000000e+02,8.630999999999999783e-01,6.393888339001153887e-02
6.400000000000000000e+02,8.625000000000000444e-01,6.424089625468824838e-02
6.410000000000000000e+02,8.624000000000000554e-01,6.429125215733648424e-02
6.420000000000000000e+02,8.622999999999999554e-01,6.434161389936586539e-02
6.430000000000000000e+02,8.621999999999999664e-01,6.439198148213072515e-02
6.440000000000000000e+02,8.621999999999999664e-01,6.439198148213072515e-02
6.450000000000000000e+02,8.625000000000000444e-01,6.424089625468824838e-02
6.460000000000000000e+02,8.636000000000000343e-01,6.368736633780680556e-02
6.470000000000000000e+02,8.648000000000000131e-01,6.308431905474606860e-02
6.480000000000000000e+02,8.660999999999999810e-01,6.243196139961708357e-02
6.490000000000000000e+02,8.677000000000000268e-01,6.163040254819367181e-02
6.500000000000000000e+02,8.693999999999999506e-01,6.078036414518180747e-02
6.510000000000000000e+02,8.709999999999999964e-01,5.998184499233679551e-02
6.520000000000000000e+02,8.707000000000000295e-01,6.013145554049026398e-02
6.530000000000000000e+02,8.703999999999999515e-01,6.028111764589533933e-02
6.540000000000000000e+02,8.699999999999999956e-01,6.048074738138147638e-02
6.550000000000000000e+02,8.690999999999999837e-01,6.093025007657576486e-02
6.560000000000000000e+02,8.681999999999999718e-01,6.138021849731890855e-02
6.570000000000000000e+02,8.671999999999999709e-01,6.188073080568830958e-02
6.580000000000000000e+02,8.662999999999999590e-01,6.233168560099491134e-02
6.590000000000000000e+02,8.653999999999999471e-01,6.278310913729455434e-02
6.600000000000000000e+02,8.645000000000000462e-01,6.323500239005860890e-02
6.610000000000000000e+02,8.637000000000000233e-01,6.363708040225554696e-02
6.620000000000000000e+02,8.629000000000000004e-01,6.403953101083353916e-02
6.630000000000000000e+02,8.620999999999999774e-01,6.444235490698604907e-02
6.640000000000000000e+02,8.611999999999999655e-01,6.489597884855043131e-02
6.650000000000000000e+02,8.607000000000000206e-01,6.514819703433914755e-02
6.660000000000000000e+02,8.604000000000000536e-01,6.529959828457501669e-02
6.670000000000000000e+02,8.599999999999999867e-01,6.550154875643228458e-02
6.680000000000000000e+02,8.607000000000000206e-01,6.514819703433914755e-02
6.690000000000000000e+02,8.620999999999999774e-01,6.444235490698604907e-02
6.700000000000000000e+02,8.636000000000000343e-01,6.368736633780680556e-02
